,name,long,lat,df_name,cat1,cat2,cat1_name,cat2_name
248,salvini,9.16497937991,45.4560918369,distr,alimentare|non alimentare,,settore_merceologico,
249,,9.23468806504,45.4708435314,distr,non alimentare,,settore_merceologico,
250,,9.19823889108,45.4678378244,distr,Non Alimentare,,settore_merceologico,
251,,,,distr,non alimentare,,settore_merceologico,
252,,9.19343576768,45.4705548749,distr,non alimentare,,settore_merceologico,
253,,9.19360941189,45.4690357001,distr,Non Alimentare,,settore_merceologico,
254,,9.18317154196,45.4609511852,distr,non alimentare,,settore_merceologico,
255,,9.18421232201,45.4705601816,distr,alimentare|non alimentare,,settore_merceologico,
256,,9.19608696396,45.4686537284,distr,non alimentare,,settore_merceologico,
257,,9.18210764913,45.4714865088,distr,Alimentare|Non Alimentare,,settore_merceologico,
258,etro,9.1956629661,45.4677775374,distr,non alimentare,,settore_merceologico,
259,,9.19791902453,45.4674139065,distr,Non Alimentare,,settore_merceologico,
260,morotti arredamenti,9.21890139399,45.4940992106,distr,non alimentare,,settore_merceologico,
261,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
262,,9.18702148449,45.4519025086,distr,Alimentare|Non Alimentare,,settore_merceologico,
263,,9.21037123992,45.479972797,distr,Non Alimentare,,settore_merceologico,
264,carrefour,9.21732121221,45.4808205317,distr,alimentare|non alimentare,,settore_merceologico,
265,super union,9.21560517744,45.4564574923,distr,non alimentare,,settore_merceologico,
266,,9.17100480683,45.5175677475,distr,,,settore_merceologico,
267,bernardi abbigliamento,9.18447265656,45.4890523882,distr,non alimentare,,settore_merceologico,
268,,9.14687852222,45.5139630324,distr,Alimentare|Non Alimentare,,settore_merceologico,
269,,9.18151644951,45.471470812,distr,Non Alimentare,,settore_merceologico,
270,,9.15055682675,45.4907468073,distr,non alimentare,,settore_merceologico,
271,evolution,9.23616839755,45.4351065441,distr,non alimentare,,settore_merceologico,
272,,9.14236035599,45.475101623,distr,non alimentare,,settore_merceologico,
273,,9.14620691363,45.4900956807,distr,non alimentare,,settore_merceologico,
274,marella,9.19421296043,45.465321535,distr,Non Alimentare,,settore_merceologico,
275,,9.183637528027482,45.4849632772223,distr,non alimentare,,settore_merceologico,
276,vannucci,,,distr,non alimentare,,settore_merceologico,
277,brandy,9.18041300326,45.4658225409,distr,non alimentare,,settore_merceologico,
278,castelli elaborazioni elt,9.20939013639421,45.5012760428819,distr,non alimentare|tabella speciale carburanti,,settore_merceologico,
279,picking pack service,9.19705535503,45.4627949331,distr,non alimentare,,settore_merceologico,
280,punto sma,9.16026143046,45.4860584694,distr,alimentare|non alimentare,,settore_merceologico,
281,matuella,9.20560046958,45.4755986285,distr,non alimentare,,settore_merceologico,
282,,9.13422074179,45.4645426617,distr,non alimentare,,settore_merceologico,
283,,9.18524696265,45.4929932242,distr,non alimentare,,settore_merceologico,
284,grimaldi motors,9.1647929135,45.4798287599,distr,non alimentare,,settore_merceologico,
285,hass dal 1811,,,distr,non alimentare,,settore_merceologico,
286,,9.18600322338,45.4922446317,distr,non alimentare,,settore_merceologico,
287,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
288,punto sma,9.18175754648,45.4712484964,distr,alimentare|non alimentare,,settore_merceologico,
289,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
290,,9.19730749968,45.4840421912,distr,alimentare|non alimentare,,settore_merceologico,
291,,9.20882575926,45.4784132512,distr,non alimentare,,settore_merceologico,
292,,9.20882575926,45.4784132512,distr,Non Alimentare,,settore_merceologico,
293,,9.22853466063,45.4861717073,distr,Non Alimentare,,settore_merceologico,
294,di per di,,,distr,alimentare|non alimentare,,settore_merceologico,
295,flli fumagalli garden,,,distr,non alimentare,,settore_merceologico,
296,,9.19418783582,45.4712760796,distr,Non Alimentare,,settore_merceologico,
297,bershka,9.18730859773,45.4632694555,distr,non alimentare,,settore_merceologico,
298,,9.19610816298,45.4668030056,distr,alimentare|non alimentare,,settore_merceologico,
299,,9.17818542131,45.4532670317,distr,non alimentare,,settore_merceologico,
300,proto arredamenti,9.14731616919,45.4519977664,distr,non alimentare,,settore_merceologico,
301,,9.15952094562,45.4465967538,distr,alimentare|non alimentare,,settore_merceologico,
302,,9.23407606263,45.465517448,distr,non alimentare,,settore_merceologico,
303,banner,,,distr,non alimentare,,settore_merceologico,
304,,,,distr,Non Alimentare,,settore_merceologico,
305,,9.18222846236,45.4607502746,distr,Non Alimentare,,settore_merceologico,
306,punto sma,9.17237509198,45.4799600483,distr,alimentare|non alimentare,,settore_merceologico,
307,,9.16492496987,45.463995514,distr,non alimentare,,settore_merceologico,
308,,9.19745739477,45.4638273438,distr,Non Alimentare,,settore_merceologico,
309,supermercati di x di,9.17384867507,45.4811631056,distr,alimentare|non alimentare,,settore_merceologico,
310,punto sma,9.22198248055,45.4794437231,distr,alimentare|non alimentare,,settore_merceologico,
311,di perdi,9.17610193894,45.4455488817,distr,alimentare|non alimentare,,settore_merceologico,
312,,9.18358025033,45.4668413826,distr,non alimentare,,settore_merceologico,
313,pabocar service,9.1700687267,45.4856693583,distr,non alimentare,,settore_merceologico,
314,,9.1985920481,45.4665552266,distr,non alimentare,,settore_merceologico,
315,interno ipercoop,9.11479754273,45.495837865,distr,non alimentare,,settore_merceologico,
316,,9.18404305947,45.4602652233,distr,non alimentare,,settore_merceologico,
317,carrefour,,,distr,alimentare|non alimentare,,settore_merceologico,
318,,9.1111878345,45.498849433,distr,non alimentare,,settore_merceologico,
319,idea bricolage,9.17233640692,45.4970892218,distr,non alimentare,,settore_merceologico,
320,dolce e gabbana,9.19856580089,45.4687149902,distr,non alimentare,,settore_merceologico,
321,docks dora,9.23497036848,45.4363029985,distr,non alimentare,,settore_merceologico,
322,spotti modern living,9.2063976072,45.4722203199,distr,non alimentare,,settore_merceologico,
323,,9.1940292908,45.4656134048,distr,Alimentare|Non Alimentare,,settore_merceologico,
324,playlife,9.2079191045,45.4764267856,distr,alimentare|non alimentare,,settore_merceologico,
325,mobili vercesi,9.21726927055,45.4887364556,distr,non alimentare,,settore_merceologico,
326,,9.17017029611,45.4839693082,distr,alimentare|non alimentare,,settore_merceologico,
327,,9.18501804867,45.4613294946,distr,non alimentare,,settore_merceologico,
328,,9.2033727089,45.4962053214,distr,non alimentare,,settore_merceologico,
329,,9.19664640159,45.4642554048,distr,Alimentare|Tabella speciale Farmacie,,settore_merceologico,
330,,9.1943810386,45.4677961559,distr,Non Alimentare,,settore_merceologico,
331,ader,9.18196305855,45.464748989,distr,Non Alimentare,,settore_merceologico,
332,supermercato,9.17237509198,45.4799600483,distr,alimentare|non alimentare,,settore_merceologico,
333,farmacia scevola,9.20430177294,45.5120447919,distr,tabella speciale farmacie,,settore_merceologico,
334,unes u! come tu mi vuoi,9.23122794533,45.4849852945,distr,alimentare|non alimentare,,settore_merceologico,
335,carrefour,9.22922678289,45.4656605665,distr,alimentare|non alimentare,,settore_merceologico,
336,carrefour,9.18188424512,45.4713327987,distr,alimentare|non alimentare,,settore_merceologico,
337,,9.1886109856,45.4763981471,distr,non alimentare,,settore_merceologico,
338,punto sma,9.15481307929,45.4538570549,distr,alimentare|non alimentare,,settore_merceologico,
339,in s mercato,9.1479264219,45.4948964389,distr,alimentare|non alimentare,,settore_merceologico,
340,,9.16816392488,45.4653198204,distr,Alimentare|Non Alimentare,,settore_merceologico,
341,pam,9.2306926661,45.4968678792,distr,,,settore_merceologico,
342,aica concessionaria fiat,,,distr,non alimentare,,settore_merceologico,
343,della fonte,9.16012985311,45.466410483,distr,non alimentare,,settore_merceologico,
344,,9.18067009676,45.4969564335,distr,non alimentare,,settore_merceologico,
345,a. bellomi,9.23037157618,45.4672492787,distr,non alimentare,,settore_merceologico,
346,avalon,9.20579355469,45.4814221453,distr,non alimentare,,settore_merceologico,
347,emporio isola,9.16850172059,45.4799273126,distr,non alimentare,,settore_merceologico,
348,frigerio gomme,9.22440518383,45.467450592,distr,non alimentare,,settore_merceologico,
349,buffwtti,9.17832348581,45.4680241796,distr,non alimentare,,settore_merceologico,
350,alviero martini,9.19403268064,45.4670567704,distr,non alimentare,,settore_merceologico,
351,,9.18705860213,45.4678347507,distr,non alimentare,,settore_merceologico,
352,,9.17406217788,45.4539643149,distr,non alimentare,,settore_merceologico,
353,blockbuster,9.21707217499,45.4648736882,distr,alimentare|non alimentare,,settore_merceologico,
354,,9.20779561711,45.4481459736,distr,non alimentare,,settore_merceologico,
355,giaguaro srl,9.16660765925,45.4443452004,distr,non alimentare,,settore_merceologico,
356,golf house,9.12223683503,45.500643618,distr,non alimentare,,settore_merceologico,
357,,9.19449583174,45.4676140078,distr,non alimentare,,settore_merceologico,
358,,9.12876382525,45.5113900668,distr,non alimentare,,settore_merceologico,
359,punto sma,9.15501399829,45.4682898025,distr,alimentare|non alimentare,,settore_merceologico,
